Name,Address
Asan Xidmət,"Asan Xidmət, Sumqayıt,Sumqayıt şəhəri, 15-ci məhəllə Bakı küçəsi 42d (2M)"
EL-EM Petrol,"EL-EM Petrol, Sumqayıt şəh Babək PR, Xəlifə restoranın yanı (SM/Cöl-T)"
Karvan Market,"Karvan Market, Sumqayıt şəh. 32-ci məhəllə 20 yanvar küçəsi. Karvan Ticarət Mərkəzinin arxası (U-g)"
Əsləm Market,"Əsləm Market, (Endi-8),Abşeron r-nu Saray qəs. M.Ə.Rəsulzadə küç. Yetər ş.s.yanı (U-g)"
Qayalı Market-3,"Qayalı Market-3, Sumqayıt şəh. 13-cü MKR. Qreen Housun qarşısı. (U-g)"
Qayalı Market-2,"Qayalı Market-2, Sumqayıt şəh. 9-cu MKR . Ü.Hacıbəyov küç. (U-g)"
Qayalı Market-4,"Qayalı Market-4, Sumqayıt şəh Hacı Zeynalabdin Tağıyev qəs. (U-g"
ARAZ Market - Saray,"ARAZ Market - Saray, Abşeron r-nu Bakı Sumqayıt şossesi, Saray postunun yanı (U-g)"
NBC Bank Sumqayıt filialı,"NBC Bank Sumqayıt filialı, Sumqayıt şəhəri 3cü mkr. H. Əliyev prospekti 22/54 H.Ə heykəlinin yanı (U-g)"
Ən Ucuz Market-2,"Ən Ucuz Market-2, Sumqayıt şəhəri 9-cu MKR, Sumqayıt AZİ Universitetinin yanı(U-g)"
Elmar Market-10,"Elmar Market-10, Sumqayıt şəh H.Əliyev pr 34-cü məhəllə Ceyran şadlıq evinin altı(U-g)"
Qayalı Market-1,"Qayalı Market-1, Sumqayıt şəh. 11-ci MKR. Bədəlbəyli küç. 34A. (U-g)"
Ən Ucuz Market-2,"Ən Ucuz Market-2, Sumqayıt şəhəri 9-cu MKR, Sumqayıt AZİ Universitetinin yanı(U-g)"
Alyans Tekstil,"Alyans Tekstil, Sumqayıt şəhəri 76-cı məhəllə, Sumqayıtın girəcəyində Gilan tekstildən sonra AvroMed-dən sağa (U-g)"
Ərzaq Mağazası,"Ərzaq Mağazası, Abşeron r-nu Ceyranbatan qəs. Asvalt Zavod, Sumqayıta çatmamış zapravkadan geri qayıt 90 yazılan yerdən sağa (U-g)"
Elmar Market,"Elmar Market, Sumqayıt şəh H.Z.Tağıyev qəs S.Vurğun küç, Bulağın yanı (U-g)"
Ən Ucuz Market2,"Ən Ucuz Market2, Abşeron r-nu, Ceyranbat qəs Gündüz Abdullayev küç Poçtun yanı"
BOLMART-5,"BOLMART-5, Abşeron r-nu., Bakı-Sumqayıt şossesi, Saray postunun yanı U"
Özləm Market,"Özləm Market, Abşeron ray Saray qəs Qurddərəsi massivi Dostluq kafesininüzbəüz sola dönəndə"
Gənclik Market,"Gənclik Market, Sumqayıt şəh 9cu MKR bina52 Heydər Əliyev parkı ilə üzbə üz Access bankın yanı (U)"
Elmar Market,"Elmar Market, Sumqayit Simurq"
Qayalı Market,"Qayalı Market, Abşeron r-nu.,Xəzri bağları 2., Nasosnu yolunun üstü zavodlardan sonra solda (U)"
Bazarstore Sumqayıt-Sumqayıt,"Bazarstore Sumqayıt-Sumqayıt, 30-cu məhəllə, N.Nərimanov k. 3(U)"
ƏMDK yanında DƏDRX Sumqayıt şöbəsi,"ƏMDK yanında DƏDRX Sumqayıt şöbəsi, Sumqayıt ş. 42-ci məhəllə ərazisi, Koroğlu pr. 13 (Reyster xidməti) (U)"
Ayana Market,"Ayana Market, Sumqayıt şəh H.Z.Tağıyev qəs, Bazar massivi (U)"
Sumqayıt Sukanal İdarəsi 3,"Sumqayıt Sukanal İdarəsi 3, Sumqayıt şəhəri 16-cı Məhəllə, ASAN ximdət tərəf, Müştəri xidmətinin binası(U)"
ARAZ Market - Karvan,"ARAZ Market - Karvan, Sumqayıt şəhəri 32 ci məhəll"
Elmar Market-2,"Elmar Market-2, Sumqayıt şəh 6-cı MKR Dəmirbankın arxas"
Məcid Market,"Məcid Market, Sumqayıt şəh (Abşeron) BTZ Bağları 42 n-li marşurutun yolu"
Məhəllə Market,"Məhəllə Market, Sumqayıt şəh. 44-cü məhəllə bina 7 Term istirahət mərkəzinin yanı, içəri tərəf"
Gənc Market,"Gənc Market, Sumqayıt şəh 12-ci MKR 49məh, Sumqayıt Dəmir yol vağzalının yanı"
Ən Ucuz Market 2,"Ən Ucuz Market 2, Abşeron r-nu, Ceyranbat qəs Gündüz Abdullayev küç Poçtun yanı"
Jason Market,"Jason Market, Sumqayıt şəhəri 13-cü MKR 21-ci binanın arxası"
Aptek Sumqayıt,"Aptek Sumqayıt, Sumqayıt şəh., 14-cü Məhəllə, N.Nərimanov küç., 13/10"
Saray Market,"Saray Market, Abşeron ray Yeni Saray qəs, Z.Əliyeva 25. Posta çatmamış sağda"
Sumqayıt şhəri,"Sumqayıt şhəri, Etilen Politelen zavodunun çölü (Çöl terminalı)"
Sumqayıt şəhəri,"Sumqayıt şəhəri, Etilen Politelen zavodunun inzibati binasının içi"
